ID,address
1,"93 NORTH 9TH STREET, BROOKLYN NY 11211"
2,"380 WESTMINSTER ST, PROVIDENCE RI 02903"
3,"177 MAIN STREET, LITTLETON NH 03561"
4,"202 HARLOW ST, BANGOR ME 04401"
5,"46 FRONT STREET, WATERVILLE, ME 04901"
6,"22 SUSSEX ST, HACKENSACK NJ 07601"
7,"75 OAK STREET, PATCHOGUE NY 11772"
8,"1 CLINTON AVE, ALBANY NY 12207"
9,"7242 ROUTE 9, PLATTSBURGH NY 12901"
10,"520 5TH AVE, MCKEESPORT PA 15132"
11,"122 W 3RD STREET, GREENSBURG PA 15601"
12,"901 UNIVERSITY DR, STATE COLLEGE PA 16801"
13,"240 W 3RD ST, WILLIAMSPORT PA 17701"
14,"41 N 4TH ST, ALLENTOWN PA 18102"
15,"2221 W. MARKET STREET, POTTSVILLE PA 17901"
16,"337 BRIGHTSEAT ROAD, LANDOVER MD 20785"
17,"101 CHESAPEAKE BLVD, ELKTON MD 21921"
18,"2875 SABRE ST, VIRGINIA BEACH VA 23452"
19,"324 COMMERCE ROAD, FARMVILLE VA 23901"
20,"1480 EAST MAIN STREET, WYTHEVILLE VA 24382"
21,"116 N JEFFERSON STREET, ROANOKE VA 24016"
22,"50 MCDOWELL STREET, WELCH WV 24801"
23,"146 EAST FIRST AVE, WILLIAMSON WV 25661"
24,"1925 E MAIN ST, ALBEMARLE NC 28001"
25,"1013 SPRING LANE, SANFORD NC 27330"
26,"145 ROWAN STREET, FAYETTEVILLE NC 28301"
27,"1420 MCCARTHY BLVD, NEW BERN NC 28562"
28,"115 ENTERPRISE COURT, GREENWOOD SC 29649"
29,"732 W 2ND ST, TIFTON GA 31794"
30,"97 WEST OAK AVE, PANAMA CITY FL 32401"
31,"2276 WILTON DR, WILTON MANORS FL 33305"
32,"203 SOUTH WALNUT ST, FLORENCE AL 35630"
33,"108 CENTER POINTE DR, CLARKSVILLE TN 37040"
34,"1800 OLD TROY RD, UNION CITY TN 38261"
35,"931 OLD SMITHVILLE HWY, MCMINNVILLE TN 37110"
36,"1301 GREENE STREET, MARIETTA OH 45750"
37,"602 SOUTH MICHIGAN ST, SOUTH BEND IN 46601"
38,"500 NORTH A STREET, RICHMOND IN 47374"
39,"317 SOUTH DRAKE ROAD, KALAMAZOO MI 49009"
40,"105 Amity Way, Wayne PA 19087"
41,"305 W 45th St, New York NY 10036"
42,"11839 Federalist Way, Fairfax VA 22030"
43,"400 Monroe St, Hoboken, NJ 07030"
44,"101 West End Avenue, New York NY 10023"
45,"2900 4TH AVE, BILLINGS MT 59101"
46,"158 N SCOTT STREET, JOLIET IL 60432"
47,"1207 NETWORK CENTRE DR, EFFINGHAM IL 62401"
48,"3555 SOUTHERN HILLS DR, SIOUX CITY IA 51106"
49,"300 E 3RD ST, NORTH PLATTE NE 69101"
50,"115 N WEBB RD, GRAND ISLAND NE 68803"
51,"415 VALLEY VIEW DR, SCOTTSBLUFF NE 69361"